name,date,annee,mois,developer,genres,price,owners,owners_min,nb_avis,ratio_pos,petit_studio,fetes,succes_com,succes_critique,periode_etude,appid,free
Opus Magnum,2017-12-07,2017,12,Zachtronics,Indie;Simulation,17.66,100000-200000,100000,2021,0.979,True,True,True,True,True,558990,False
Siege Saga,2018-02-28,2018,2,PlayZilla.tk,Adventure;Casual;Indie,11.39,0-20000,0,25,0.8,True,False,False,False,False,559030,False
Inner Voices,2017-05-10,2017,5,Sigma Games,Adventure;Indie,7.97,0-20000,0,43,0.651,True,False,False,False,True,559130,False
"Ready, Aim, Splat!",2017-01-12,2017,1,Blue Volcano Studio,Action;Casual;Indie,4.55,0-20000,0,6,0.667,True,False,False,False,True,559170,False
Danny's War,2016-11-23,2016,11,NedoStudio,Action;Indie,1.81,20000-50000,20000,7,0.429,True,True,False,False,True,559200,False
Rakuen,2017-05-10,2017,5,Laura Shigihara,Adventure;Indie;RPG,7.97,50000-100000,50000,2255,0.972,True,False,True,True,True,559210,False
Ghostlight Manor,2016-12-10,2016,12,Digital Future Lab,Adventure;Casual;Indie;Strategy,5.69,0-20000,0,5,1.0,True,True,False,False,True,559250,False
Wayward Souls,2018-07-16,2018,7,Rocketcat Games,Action;Indie;RPG;Early Access,10.59,0-20000,0,102,0.873,True,False,False,True,False,559260,False
Snailiens,2018-11-20,2018,11,562 Interactive,Action;Indie;Strategy,12.53,0-20000,0,7,0.857,True,True,False,False,False,559280,False
Illyriad - Grand Strategy MMO,2017-01-11,2017,1,Illyriad Games,Indie;Massively Multiplayer;RPG;Simulation;Strategy,4.55,0-20000,0,99,0.596,True,False,False,False,True,559310,False
A Fisherman's Tale,2019-01-22,2019,1,Innerspace VR,Adventure;Indie,15.95,0-20000,0,211,0.967,True,False,False,True,False,559330,False
Sunset Rangers,2018-03-01,2018,3,www.fishermangamedev.com,Action;Indie;RPG,8.2,20000-50000,20000,243,0.506,True,False,False,False,False,559340,False
EURGAVA™ - Fight for Haaria,2016-12-01,2016,12,Ibrahim Indra Baskara,Casual;Indie;RPG;Strategy,4.55,0-20000,0,21,0.619,True,True,False,False,True,559350,False
Brocat: the B Game,2018-11-09,2018,11,Fresh Red Minsche Experimental,Action;Indie,1.93,0-20000,0,5,0.8,True,True,False,False,False,559360,False
Demented Pixie,2016-12-14,2016,12,Molegato,Indie;RPG;Strategy,4.55,0-20000,0,10,0.7,True,True,False,False,True,559450,False
Love Ribbon,2017-01-27,2017,1,Razzart Visual,Sexual Content;Casual;Indie,7.97,20000-50000,20000,1098,0.954,True,False,False,True,True,559610,False
Witch It,2017-05-31,2017,5,Barrel Roll Games,Action;Casual;Indie;Early Access,12.53,100000-200000,100000,2919,0.903,True,False,True,True,True,559650,False
Time Tenshi 2: Special Edition,2016-11-21,2016,11,Silver Cow Studio,Adventure;Indie;Simulation,13.67,0-20000,0,11,1.0,True,True,False,False,True,559850,False
PAKO - Car Chase Simulator,2017-01-10,2017,1,Tree Men Games,Action;Indie;Racing,2.38,0-20000,0,110,0.736,True,False,False,False,True,559870,False
Terroir,2017-09-20,2017,9,General Interactive Co.,Indie;Simulation;Strategy,12.53,0-20000,0,239,0.703,True,False,False,False,True,559910,False
Broken Blue,2016-12-09,2016,12,BacklotRealities,Casual;Free to Play;Indie;Simulation,0.0,0-20000,0,37,0.703,True,True,False,False,True,559920,True
Causality,2017-02-02,2017,2,Loju,Casual;Indie,3.41,0-20000,0,23,1.0,True,False,False,False,True,559930,False
Power Hover,2017-01-10,2017,1,Oddrok,Action;Adventure;Indie;Racing,0.9,0-20000,0,146,0.925,True,False,False,True,True,559960,False
